Feed Rate,Depth Of Cut (mm),Spindle Speed,Time (Sec),P (w)
406,5000,2030,14,900
406,5000,2030,16,1000
406,5000,2030,17,1000
406,5000,2030,18,1000
406,5000,2030,19,1000
406,5000,2030,20,800
406,5000,2030,21,800
406,5000,2030,22,900
406,5000,2030,23,900
406,5000,2030,24,900
406,5000,2030,25,900
406,5000,2030,26,1000
406,5000,2030,28,200
431,5000,2155,1,200
431,5000,2155,2,300
431,5000,2155,3,800
431,5000,2155,4,1100
431,5000,2155,5,1100
431,5000,2155,6,1100
431,5000,2155,7,1100
431,5000,2155,8,1000
431,5000,2155,10,1100
431,5000,2155,11,1000
431,5000,2155,12,1100
431,5000,2155,13,1100
431,5000,2155,14,900
431,5000,2155,15,1100
431,5000,2155,16,900
431,5000,2155,18,1100
431,5000,2155,19,1100
431,5000,2155,20,1100
431,5000,2155,21,1000
431,5000,2155,22,900
431,5000,2155,23,1100
431,5000,2155,24,1000
431,5000,2155,25,1100
431,5000,2155,26,1100
431,5000,2155,27,700
431,5000,2155,28,200
460,5000,2300,0,200
460,5000,2300,1,300
460,5000,2300,2,1200
460,5000,2300,3,1100
460,5000,2300,5,1200
460,5000,2300,6,1000
460,5000,2300,7,1000
460,5000,2300,9,1100
460,5000,2300,10,1200
460,5000,2300,11,1200
460,5000,2300,12,1000
460,5000,2300,14,1000
460,5000,2300,15,1100
460,5000,2300,16,1200
460,5000,2300,17,1200
460,5000,2300,18,1100
460,5000,2300,19,1200
460,5000,2300,20,1000
460,5000,2300,21,1200
460,5000,2300,23,1200
460,5000,2300,24,1100
460,5000,2300,25,900
460,5000,2300,26,100
460,5000,2300,27,100
490,5000,2450,0,100
490,5000,2450,1,100
490,5000,2450,2,200
490,5000,2450,3,1200
490,5000,2450,4,1100
490,5000,2450,5,1200
490,5000,2450,6,1200
490,5000,2450,7,1100
490,5000,2450,8,900
490,5000,2450,9,1200
490,5000,2450,10,1100
490,5000,2450,11,1200
490,5000,2450,12,1200
490,5000,2450,13,1000
490,5000,2450,14,900
490,5000,2450,15,1200
490,5000,2450,16,1200
490,5000,2450,19,1200
490,5000,2450,20,1000
490,5000,2450,21,1200
490,5000,2450,22,1200
490,5000,2450,24,1000
490,5000,2450,25,300
490,5000,2450,26,100
